store_id,region,product_id,category,total_revenue,revenue_percentage,cumulative_percentage,revenue_rank,abc_classification,management_strategy,total_units_sold,avg_selling_price,avg_inventory_level
S001,East,P0046,Clothing,315156.37,4.53,4.53,1,A,TIGHT_CONTROL,5986,52.17,150
S001,East,P0125,Clothing,278351.15,4.00,8.53,2,A,TIGHT_CONTROL,5201,54.11,154
S001,East,P0133,Clothing,277589.03,3.99,12.52,3,A,TIGHT_CONTROL,4802,53.47,156
S001,East,P0067,Furniture,277080.87,3.98,16.50,4,A,TIGHT_CONTROL,5276,51.97,146
S001,East,P0083,Toys,261086.79,3.75,20.25,5,A,TIGHT_CONTROL,5205,50.53,142
S001,East,P0166,Groceries,258736.93,3.72,23.97,6,A,TIGHT_CONTROL,4773,53.65,146
S001,East,P0126,Clothing,256066.13,3.68,27.65,7,A,TIGHT_CONTROL,4933,51.15,159
S001,East,P0068,Electronics,251902.68,3.62,31.27,8,A,TIGHT_CONTROL,4636,53.62,139
S001,East,P0116,Furniture,248421.37,3.57,34.84,9,A,TIGHT_CONTROL,4465,55.76,154
S001,East,P0129,Furniture,247983.92,3.56,38.40,10,A,TIGHT_CONTROL,5111,49.17,137
S001,East,P0017,Toys,243699.94,3.50,41.90,11,A,TIGHT_CONTROL,4771,49.72,140
S001,East,P0066,Clothing,242304.46,3.48,45.38,12,A,TIGHT_CONTROL,4623,51.35,159
S001,East,P0178,Clothing,239258.30,3.44,48.82,13,A,TIGHT_CONTROL,4398,55.29,158
S001,East,P0057,Clothing,238374.05,3.42,52.24,14,A,TIGHT_CONTROL,4783,52.70,168
S001,East,P0096,Toys,234476.69,3.37,55.61,15,A,TIGHT_CONTROL,4670,50.06,137
S001,East,P0171,Electronics,234345.10,3.37,58.98,16,A,TIGHT_CONTROL,4629,48.45,137
S001,East,P0153,Furniture,232276.67,3.34,62.32,17,A,TIGHT_CONTROL,4819,48.21,146
S001,East,P0016,Clothing,228837.64,3.29,65.61,18,A,TIGHT_CONTROL,5122,46.37,162
S001,East,P0061,Clothing,228251.06,3.28,68.89,19,A,TIGHT_CONTROL,4274,50.67,163
S001,East,P0187,Clothing,218752.19,3.14,72.03,20,A,TIGHT_CONTROL,4754,46.19,167
S001,East,P0031,Electronics,218472.61,3.14,75.17,21,A,TIGHT_CONTROL,3903,54.98,139
S001,East,P0175,Electronics,212889.92,3.06,78.23,22,A,TIGHT_CONTROL,4147,51.21,139
S001,East,P0079,Furniture,205221.68,2.95,81.18,23,B,MODERATE_CONTROL,4622,44.01,145
S001,East,P0183,Electronics,205076.41,2.95,84.13,24,B,MODERATE_CONTROL,3868,51.75,146
S001,East,P0085,Electronics,198991.98,2.86,86.99,25,B,MODERATE_CONTROL,4085,49.98,138
S001,East,P0069,Clothing,190038.90,2.73,89.72,26,B,MODERATE_CONTROL,3389,54.36,154
S001,East,P0094,Groceries,188980.25,2.72,92.44,27,B,MODERATE_CONTROL,3557,54.20,150
S001,East,P0070,Electronics,182063.07,2.62,95.06,28,C,BASIC_CONTROL,4257,44.92,140
S001,East,P0149,Furniture,177508.81,2.55,97.61,29,C,BASIC_CONTROL,3691,47.91,137
S001,East,P0159,Electronics,167806.98,2.41,100.02,30,C,BASIC_CONTROL,3381,50.20,143
S001,North,P0133,Clothing,305035.64,4.41,4.41,1,A,TIGHT_CONTROL,5574,55.91,146
S001,North,P0061,Clothing,300036.65,4.34,8.75,2,A,TIGHT_CONTROL,5885,51.47,166
S001,North,P0149,Furniture,281964.02,4.08,12.83,3,A,TIGHT_CONTROL,5183,52.45,153
S001,North,P0066,Clothing,278497.44,4.03,16.86,4,A,TIGHT_CONTROL,5236,50.80,147
S001,North,P0126,Clothing,268766.50,3.89,20.75,5,A,TIGHT_CONTROL,5117,53.92,161
S001,North,P0068,Electronics,267952.70,3.88,24.63,6,A,TIGHT_CONTROL,5080,51.10,140
S001,North,P0069,Clothing,263381.24,3.81,28.44,7,A,TIGHT_CONTROL,5554,50.04,154
