store_id,region,product_id,category,inventory_level,price,discount_pct,inventory_value,stock_status,seasonality,weather_condition
S002,North,P0166,Groceries,24,45.86,5.00,1045.61,LOW,Winter,Rainy
S003,North,P0067,Furniture,31,16.10,5.00,474.15,LOW,Winter,Snowy
S003,West,P0016,Clothing,32,64.05,20.00,1639.68,LOW,Winter,Sunny
S005,South,P0070,Electronics,32,92.29,10.00,2657.95,LOW,Winter,Cloudy
S002,West,P0083,Toys,41,31.23,10.00,1152.39,LOW,Winter,Rainy
S005,East,P0031,Electronics,42,64.13,0.00,2693.46,LOW,Winter,Rainy
S002,South,P0083,Toys,43,19.10,20.00,657.04,LOW,Winter,Rainy
S003,West,P0068,Electronics,45,14.96,5.00,639.54,LOW,Winter,Snowy
S001,West,P0067,Furniture,51,61.93,0.00,3158.43,NORMAL,Winter,Rainy
S002,East,P0085,Electronics,51,80.58,10.00,3698.62,NORMAL,Winter,Rainy
S003,South,P0067,Furniture,52,46.54,10.00,2178.07,NORMAL,Winter,Sunny
S003,West,P0166,Groceries,55,37.73,0.00,2075.15,NORMAL,Winter,Rainy
S002,East,P0129,Furniture,56,33.02,10.00,1664.21,NORMAL,Winter,Sunny
S002,West,P0129,Furniture,56,60.76,0.00,3402.56,NORMAL,Winter,Cloudy
S004,South,P0153,Furniture,56,53.86,10.00,2714.54,NORMAL,Winter,Cloudy
S003,South,P0031,Electronics,57,98.81,0.00,5632.17,NORMAL,Winter,Sunny
S003,North,P0016,Clothing,58,51.20,0.00,2969.60,NORMAL,Winter,Cloudy
S002,West,P0069,Clothing,60,94.90,10.00,5124.60,NORMAL,Winter,Cloudy
S003,North,P0175,Electronics,61,78.71,0.00,4801.31,NORMAL,Winter,Cloudy
S002,West,P0116,Furniture,63,67.89,0.00,4277.07,NORMAL,Winter,Snowy
S003,South,P0085,Electronics,63,60.78,0.00,3829.14,NORMAL,Winter,Sunny
S003,South,P0057,Clothing,65,24.76,10.00,1448.46,NORMAL,Winter,Rainy
S003,South,P0149,Furniture,65,58.73,20.00,3053.96,NORMAL,Winter,Snowy
S004,North,P0116,Furniture,66,63.31,20.00,3342.77,NORMAL,Winter,Rainy
S002,South,P0183,Electronics,67,63.03,10.00,3800.71,NORMAL,Winter,Sunny
S004,West,P0126,Clothing,67,11.38,0.00,762.46,NORMAL,Winter,Snowy
S001,North,P0057,Clothing,68,34.11,0.00,2319.48,NORMAL,Winter,Sunny
S003,North,P0079,Furniture,68,70.87,10.00,4337.24,NORMAL,Winter,Cloudy
S001,East,P0070,Electronics,70,91.56,20.00,5127.36,NORMAL,Winter,Rainy
S001,East,P0171,Electronics,70,83.69,10.00,5272.47,NORMAL,Winter,Snowy
S005,North,P0133,Clothing,70,74.46,10.00,4690.98,NORMAL,Winter,Snowy
S003,West,P0017,Toys,71,92.36,10.00,5901.80,NORMAL,Winter,Rainy
S005,North,P0083,Toys,71,18.90,0.00,1341.90,NORMAL,Winter,Sunny
S005,South,P0166,Groceries,71,19.17,0.00,1361.07,NORMAL,Winter,Snowy
S002,North,P0153,Furniture,73,98.87,0.00,7217.51,NORMAL,Winter,Snowy
S004,West,P0067,Furniture,73,88.38,5.00,6129.15,NORMAL,Winter,Sunny
S005,West,P0061,Clothing,73,50.38,0.00,3677.74,NORMAL,Winter,Cloudy
S005,West,P0067,Furniture,73,82.47,0.00,6020.31,NORMAL,Winter,Snowy
