store_id,region,product_id,category,avg_inventory_level,avg_daily_sales,cogs_90_days,avg_inventory_value,inventory_turnover_ratio,days_of_supply,avg_unit_price,movement_type,performance_rating
S003,North,P0066,Clothing,149,113.09,189943.99,7423.37,104.49,1,53.89,FAST_MOVER,EXCELLENT
S002,East,P0066,Clothing,175,121.33,240846.25,9445.22,101.50,1,54.67,FAST_MOVER,EXCELLENT
S004,North,P0069,Clothing,173,125.12,248596.25,10207.03,99.56,1,62.23,FAST_MOVER,EXCELLENT
S004,West,P0016,Clothing,184,136.45,228279.89,10211.79,93.25,1,59.36,FAST_MOVER,EXCELLENT
S004,West,P0178,Clothing,162,115.00,179084.57,7940.88,92.11,1,53.00,FAST_MOVER,EXCELLENT
S005,East,P0061,Clothing,174,128.20,194305.21,8882.59,89.44,1,54.93,FAST_MOVER,EXCELLENT
S002,North,P0125,Clothing,175,128.03,216305.14,9791.74,88.78,1,59.49,FAST_MOVER,EXCELLENT
S002,North,P0069,Clothing,149,107.57,168878.38,7944.00,88.09,1,57.65,FAST_MOVER,EXCELLENT
S001,West,P0178,Clothing,174,121.74,229876.73,10403.40,88.03,1,63.56,FAST_MOVER,EXCELLENT
S002,South,P0126,Clothing,158,110.16,174242.99,8296.48,87.55,1,56.04,FAST_MOVER,EXCELLENT
S005,South,P0133,Clothing,170,126.14,182718.06,8283.95,87.21,1,52.23,FAST_MOVER,EXCELLENT
S003,West,P0016,Clothing,163,116.80,163871.49,7386.26,87.20,1,50.27,FAST_MOVER,EXCELLENT
S002,North,P0133,Clothing,178,131.24,200235.23,9302.22,86.88,1,57.68,FAST_MOVER,EXCELLENT
S005,South,P0046,Clothing,169,120.63,189360.99,8965.08,86.62,1,58.42,FAST_MOVER,EXCELLENT
S004,West,P0125,Clothing,185,131.70,176945.91,8370.16,86.50,1,48.94,FAST_MOVER,EXCELLENT
S001,West,P0187,Clothing,185,131.33,194886.14,9314.09,86.29,1,54.66,FAST_MOVER,EXCELLENT
S002,South,P0057,Clothing,183,134.75,187360.55,9430.63,83.60,1,54.32,FAST_MOVER,EXCELLENT
S005,East,P0178,Clothing,180,131.07,196185.61,9595.53,82.79,1,58.83,FAST_MOVER,EXCELLENT
S003,East,P0187,Clothing,156,117.63,143424.19,7024.32,82.55,1,51.44,FAST_MOVER,EXCELLENT
S005,East,P0057,Clothing,169,113.57,137227.12,6934.85,81.94,1,44.95,FAST_MOVER,EXCELLENT
S001,North,P0061,Clothing,176,130.59,169951.88,8337.27,81.10,1,52.22,FAST_MOVER,EXCELLENT
S003,North,P0126,Clothing,169,119.61,174368.49,8743.37,80.37,1,54.35,FAST_MOVER,EXCELLENT
S002,South,P0046,Clothing,154,112.22,142365.38,7174.72,80.04,1,51.97,FAST_MOVER,EXCELLENT
S003,North,P0046,Clothing,175,131.50,173917.85,8644.98,79.22,1,54.66,FAST_MOVER,EXCELLENT
S004,West,P0133,Clothing,148,102.79,136869.78,6969.30,78.90,1,53.10,FAST_MOVER,EXCELLENT
S004,South,P0016,Clothing,160,115.07,165223.88,8448.17,78.83,1,58.27,FAST_MOVER,EXCELLENT
S001,North,P0066,Clothing,158,113.48,157548.37,8204.63,78.72,1,57.36,FAST_MOVER,EXCELLENT
S005,South,P0066,Clothing,177,126.93,176785.55,9127.49,78.36,1,52.75,FAST_MOVER,EXCELLENT
S005,South,P0126,Clothing,183,126.07,185773.61,9735.45,78.32,1,57.26,FAST_MOVER,EXCELLENT
S005,South,P0125,Clothing,141,104.42,141418.85,7322.80,78.11,1,54.14,FAST_MOVER,EXCELLENT
S001,West,P0066,Clothing,173,127.35,155190.72,8099.32,77.72,1,51.06,FAST_MOVER,EXCELLENT
S003,West,P0069,Clothing,159,117.31,143874.48,7583.78,77.70,1,51.02,FAST_MOVER,EXCELLENT
S004,North,P0057,Clothing,167,127.96,177040.89,9157.13,77.50,1,59.09,FAST_MOVER,EXCELLENT
S003,East,P0126,Clothing,165,116.70,152061.58,7854.84,77.38,1,50.98,FAST_MOVER,EXCELLENT
S003,South,P0133,Clothing,169,108.00,155687.40,8451.09,75.21,2,55.40,FAST_MOVER,EXCELLENT
S002,North,P0187,Clothing,155,115.12,152972.91,8238.45,75.13,1,56.50,FAST_MOVER,EXCELLENT
S002,South,P0125,Clothing,149,109.84,162179.58,8871.28,74.98,1,62.15,FAST_MOVER,EXCELLENT
S001,South,P0061,Clothing,175,124.38,142784.99,7830.22,74.98,1,50.19,FAST_MOVER,EXCELLENT
S004,West,P0066,Clothing,169,115.44,152600.94,8364.63,74.93,1,54.08,FAST_MOVER,EXCELLENT
S004,East,P0126,Clothing,157,116.36,154005.80,8519.35,74.91,1,56.16,FAST_MOVER,EXCELLENT
S001,West,P0069,Clothing,166,109.29,169711.61,9283.36,74.87,2,59.90,FAST_MOVER,EXCELLENT
S005,South,P0061,Clothing,168,114.85,176553.51,9511.77,74.78,1,60.71,FAST_MOVER,EXCELLENT
S004,South,P0057,Clothing,153,112.52,123643.06,6650.84,74.70,1,44.91,FAST_MOVER,EXCELLENT
S005,West,P0187,Clothing,171,130.79,167120.96,9051.10,74.63,1,57.56,FAST_MOVER,EXCELLENT
S005,North,P0069,Clothing,183,124.11,176391.52,9661.46,74.38,1,54.18,FAST_MOVER,EXCELLENT
S002,South,P0066,Clothing,178,125.77,186711.71,10267.01,74.33,1,62.37,FAST_MOVER,EXCELLENT
S004,North,P0178,Clothing,198,144.88,197006.63,10618.63,74.25,1,55.16,FAST_MOVER,EXCELLENT
S004,South,P0046,Clothing,168,118.15,171985.20,9162.42,74.24,1,60.76,FAST_MOVER,EXCELLENT
S003,South,P0046,Clothing,172,116.52,157031.99,8625.48,74.24,1,54.31,FAST_MOVER,EXCELLENT
S001,East,P0057,Clothing,178,125.04,178512.84,9901.12,74.18,1,61.89,FAST_MOVER,EXCELLENT
S001,West,P0126,Clothing,166,112.00,127908.86,7101.29,74.06,1,47.95,FAST_MOVER,EXCELLENT
S004,West,P0046,Clothing,175,118.33,160767.41,8708.30,74.00,1,54.66,FAST_MOVER,EXCELLENT
S003,West,P0061,Clothing,185,124.96,163616.75,9182.95,73.92,1,56.41,FAST_MOVER,EXCELLENT
S001,South,P0125,Clothing,168,122.32,160187.28,8974.06,73.80,1,56.34,FAST_MOVER,EXCELLENT
S003,West,P0057,Clothing,167,112.44,148512.37,8072.69,73.61,1,52.55,FAST_MOVER,EXCELLENT
S003,East,P0125,Clothing,203,135.67,176765.40,9732.39,73.27,1,50.22,MEDIUM_MOVER,GOOD
S002,North,P0016,Clothing,160,115.32,123110.47,6891.62,73.04,1,47.59,MEDIUM_MOVER,GOOD
S002,East,P0133,Clothing,158,123.52,172162.34,9985.72,72.76,1,66.01,MEDIUM_MOVER,GOOD
S001,North,P0046,Clothing,146,108.38,130646.99,7261.11,72.48,1,48.14,MEDIUM_MOVER,GOOD
S005,South,P0187,Clothing,177,120.96,142080.53,7871.33,72.01,1,48.14,MEDIUM_MOVER,GOOD
S003,North,P0061,Clothing,156,110.68,131821.81,7421.70,71.93,1,51.07,MEDIUM_MOVER,GOOD
S003,West,P0133,Clothing,162,114.56,143043.90,8380.12,71.88,1,53.24,MEDIUM_MOVER,GOOD
S002,East,P0061,Clothing,170,125.00,159152.32,8700.93,71.73,1,55.92,MEDIUM_MOVER,GOOD
S004,West,P0126,Clothing,150,109.79,123637.62,7140.96,71.38,1,50.58,MEDIUM_MOVER,GOOD
S002,East,P0178,Clothing,155,109.28,135674.62,7756.91,71.30,1,54.13,MEDIUM_MOVER,GOOD
S003,East,P0016,Clothing,185,130.32,160440.24,8839.44,71.27,1,51.43,MEDIUM_MOVER,GOOD
S001,East,P0133,Clothing,170,129.35,177719.51,10141.52,71.06,1,61.49,MEDIUM_MOVER,GOOD
S001,East,P0125,Clothing,178,124.92,163913.18,9287.55,70.99,1,56.43,MEDIUM_MOVER,GOOD
S001,South,P0046,Clothing,145,101.84,114755.06,6659.56,70.99,1,50.54,MEDIUM_MOVER,GOOD
