store_id,region,product_id,category,current_stock,avg_daily_sales,std_dev_sales,lead_time_days,safety_stock,reorder_point,days_of_supply,suggested_order_qty,coverage_ratio,alert_level
S003,West,P0016,Clothing,32,116.80,41.53,7,181,999,0,1148,0.03,CRITICAL
S002,South,P0126,Clothing,90,110.16,38.61,7,169,940,1,1019,0.1,CRITICAL
S005,South,P0046,Clothing,123,120.63,42.39,7,185,1029,1,1091,0.12,CRITICAL
S002,East,P0066,Clothing,127,121.33,46.12,7,201,1051,1,1125,0.12,CRITICAL
S004,West,P0016,Clothing,175,136.45,54.84,7,239,1195,1,1259,0.15,LOW
S005,East,P0057,Clothing,160,113.57,47.86,7,209,1004,1,1053,0.16,LOW
S004,West,P0125,Clothing,177,131.70,39.42,7,172,1094,1,1089,0.16,LOW
S002,North,P0125,Clothing,183,128.03,50.47,7,220,1117,1,1154,0.16,LOW
S002,North,P0069,Clothing,154,107.57,41.08,7,179,932,1,957,0.17,MODERATE
S005,East,P0061,Clothing,184,128.20,39.17,7,171,1068,1,1055,0.17,MODERATE
S004,West,P0178,Clothing,196,115.00,49.13,7,214,1019,2,1037,0.19,MODERATE
S001,West,P0178,Clothing,204,121.74,38.58,7,168,1021,2,985,0.2,MODERATE
S001,West,P0187,Clothing,245,131.33,33.75,7,147,1067,2,969,0.23,ADEQUATE
S004,North,P0069,Clothing,260,125.12,36.67,7,160,1036,2,936,0.25,ADEQUATE
S003,North,P0066,Clothing,275,113.09,53.12,7,232,1024,2,981,0.27,ADEQUATE
S001,East,P0171,Electronics,70,88.30,34.68,7,151,769,1,850,0.09,CRITICAL
S002,West,P0068,Electronics,87,83.83,32.34,7,141,728,1,782,0.12,CRITICAL
S002,West,P0175,Electronics,105,99.30,24.37,7,106,801,1,802,0.13,CRITICAL
S003,North,P0183,Electronics,101,86.42,28.61,7,125,730,1,754,0.14,LOW
S002,North,P0085,Electronics,116,92.06,38.87,7,170,814,1,868,0.14,LOW
S002,South,P0031,Electronics,122,89.88,29.92,7,131,760,1,769,0.16,LOW
S003,East,P0070,Electronics,141,94.23,39.91,7,174,834,1,867,0.17,MODERATE
S005,North,P0175,Electronics,119,82.58,27.6,7,120,699,1,700,0.17,MODERATE
S004,South,P0068,Electronics,119,81.56,25.97,7,113,684,1,678,0.17,ADEQUATE
S005,West,P0031,Electronics,143,89.90,41.93,7,183,812,2,852,0.18,ADEQUATE
S002,North,P0149,Furniture,93,88.70,30.11,7,131,752,1,790,0.12,CRITICAL
S005,East,P0116,Furniture,120,99.77,33.35,7,146,844,1,870,0.14,CRITICAL
S001,North,P0149,Furniture,130,103.61,31.75,7,139,864,1,873,0.15,LOW
S004,East,P0116,Furniture,142,97.50,36.4,7,159,841,1,858,0.17,LOW
S003,West,P0149,Furniture,131,87.16,34.56,7,151,761,2,781,0.17,MODERATE
S004,North,P0079,Furniture,144,90.75,36.54,7,160,795,2,811,0.18,MODERATE
S004,South,P0149,Furniture,161,95.17,32.12,7,140,806,2,785,0.2,ADEQUATE
S003,West,P0166,Groceries,55,93.68,38.75,7,169,825,1,939,0.07,CRITICAL
S001,South,P0094,Groceries,186,93.17,30.07,7,131,783,2,728,0.24,LOW
S005,North,P0166,Groceries,185,89.06,33.16,7,145,768,2,728,0.24,MODERATE
S005,North,P0083,Toys,71,100.36,28.82,7,126,828,1,883,0.09,CRITICAL
S005,South,P0096,Toys,162,87.59,31.39,7,137,750,2,725,0.22,LOW
