seasonality,weather_condition,category,store_id,region,total_units_sold,total_revenue,avg_daily_sales,avg_inventory_level,days_count,category_baseline,seasonal_index,impact_classification
Autumn,Cloudy,Clothing,S001,East,5550,286976.96,95.69,141,46,104.88,91.24,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S001,North,6375,321968.48,99.61,146,40,103.17,96.55,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S001,South,5697,304243.23,94.95,140,43,101.50,93.55,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S001,West,5832,307209.42,95.61,146,48,105.23,90.85,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S002,East,6265,334708.74,96.38,142,48,103.62,93.01,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S002,North,4711,239444.61,87.24,128,40,101.95,85.58,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S002,South,6320,361313.26,95.76,151,47,104.91,91.27,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S002,West,5215,246529.34,88.39,135,43,101.23,87.31,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S003,East,3971,204036.52,92.35,133,32,104.96,87.98,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S003,North,6471,317548.12,95.16,142,49,106.03,89.75,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S003,South,4471,229414.33,84.36,146,40,101.72,82.93,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S003,West,5669,260673.94,94.48,142,47,103.33,91.44,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S004,East,4881,242032.32,93.87,139,38,103.72,90.50,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S004,North,4672,250538.57,89.85,142,39,104.39,86.07,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S004,South,5546,256743.38,100.84,146,43,105.08,95.96,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S004,West,6675,340930.89,91.44,141,46,103.08,88.71,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S005,East,7429,387437.85,96.48,143,52,104.19,92.60,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S005,North,5377,293755.50,96.02,139,41,102.63,93.55,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S005,South,5490,297396.61,90.00,142,46,103.10,87.30,NORMAL_IMPACT
Autumn,Cloudy,Clothing,S005,West,5200,265640.39,91.23,144,40,104.39,87.39,NORMAL_IMPACT
Autumn,Rainy,Clothing,S001,North,5738,305163.58,91.08,140,43,103.17,88.28,NORMAL_IMPACT
Autumn,Rainy,Clothing,S001,East,4136,201174.70,94.00,145,33,104.88,89.63,NORMAL_IMPACT
Autumn,Rainy,Clothing,S005,West,5386,261616.98,91.29,139,45,104.39,87.45,NORMAL_IMPACT
Autumn,Rainy,Clothing,S005,South,4941,266993.86,89.84,140,40,103.10,87.14,NORMAL_IMPACT
Autumn,Rainy,Clothing,S005,North,6540,340345.74,102.19,148,50,102.63,99.57,NORMAL_IMPACT
Autumn,Rainy,Clothing,S005,East,6339,299695.79,96.05,155,48,104.19,92.19,NORMAL_IMPACT
Autumn,Rainy,Clothing,S004,West,6008,293431.83,92.43,137,49,103.08,89.67,NORMAL_IMPACT
Autumn,Rainy,Clothing,S004,South,5306,268389.74,93.09,142,44,105.08,88.59,NORMAL_IMPACT
Autumn,Rainy,Clothing,S004,North,7190,381439.04,99.86,150,51,104.39,95.66,NORMAL_IMPACT
Autumn,Rainy,Clothing,S004,East,5694,281120.16,91.84,144,44,103.72,88.54,NORMAL_IMPACT
Autumn,Rainy,Clothing,S003,West,7192,361338.10,92.21,143,52,103.33,89.24,NORMAL_IMPACT
Autumn,Rainy,Clothing,S003,South,5928,302806.37,94.10,141,44,101.72,92.51,NORMAL_IMPACT
Autumn,Rainy,Clothing,S003,North,5359,226829.20,94.02,136,44,106.03,88.67,NORMAL_IMPACT
Autumn,Rainy,Clothing,S003,East,6274,326881.94,99.59,145,49,104.96,94.88,NORMAL_IMPACT
Autumn,Rainy,Clothing,S002,West,5761,275501.12,97.64,149,46,101.23,96.45,NORMAL_IMPACT
Autumn,Rainy,Clothing,S002,South,6590,377671.01,94.14,145,48,104.91,89.73,NORMAL_IMPACT
Autumn,Rainy,Clothing,S002,North,5048,262337.69,91.78,136,42,101.95,90.03,NORMAL_IMPACT
Autumn,Rainy,Clothing,S002,East,6474,327802.04,92.49,146,52,103.62,89.25,NORMAL_IMPACT
Autumn,Rainy,Clothing,S001,West,5815,311994.76,102.02,152,40,105.23,96.94,NORMAL_IMPACT
Autumn,Rainy,Clothing,S001,South,5489,290727.83,91.48,136,44,101.50,90.14,NORMAL_IMPACT
Autumn,Snowy,Clothing,S001,East,5969,300772.02,87.78,141,51,104.88,83.70,NORMAL_IMPACT
Autumn,Snowy,Clothing,S001,North,6375,337240.67,89.79,139,51,103.17,87.03,NORMAL_IMPACT
Autumn,Snowy,Clothing,S001,South,6233,306273.09,93.03,148,51,101.50,91.66,NORMAL_IMPACT
Autumn,Snowy,Clothing,S001,West,6549,298056.14,102.33,151,48,105.23,97.24,NORMAL_IMPACT
Autumn,Snowy,Clothing,S002,East,6703,348909.32,91.82,135,51,103.62,88.61,NORMAL_IMPACT
Autumn,Snowy,Clothing,S002,North,6787,373994.87,91.72,135,55,101.95,89.97,NORMAL_IMPACT
Autumn,Snowy,Clothing,S002,South,5435,277941.00,93.71,141,42,104.91,89.32,NORMAL_IMPACT
Autumn,Snowy,Clothing,S002,West,5364,273861.81,95.79,145,45,101.23,94.62,NORMAL_IMPACT
Autumn,Snowy,Clothing,S003,East,6843,365822.14,97.76,152,49,104.96,93.14,NORMAL_IMPACT
Autumn,Snowy,Clothing,S003,North,6424,318924.63,94.47,141,52,106.03,89.10,NORMAL_IMPACT
Autumn,Snowy,Clothing,S003,South,5807,286475.51,90.73,140,46,101.72,89.20,NORMAL_IMPACT
Autumn,Snowy,Clothing,S003,West,6221,299522.17,92.85,145,46,103.33,89.86,NORMAL_IMPACT
Autumn,Snowy,Clothing,S004,East,5692,304795.87,88.94,136,49,103.72,85.75,NORMAL_IMPACT
