store_id,region,product_id,category,inventory_level,avg_daily_sales,reorder_point,safety_stock,days_of_supply,inventory_turnover_ratio,movement_type,abc_classification,revenue_percentage,stockout_risk_score,risk_classification,inventory_risk_score,revenue_impact_score,demand_volatility_score,recommended_action
S003,West,P0016,Clothing,32,116.80,999,181,1,87.20,FAST_MOVER,A,4.10,60,MODERATE_RISK,90,20,80,MONITOR_CLOSELY
S002,South,P0126,Clothing,90,110.16,940,169,1,87.55,FAST_MOVER,A,3.90,60,MODERATE_RISK,90,20,80,MONITOR_CLOSELY
S001,East,P0171,Electronics,70,88.30,769,151,1,76.85,FAST_MOVER,A,3.37,60,MODERATE_RISK,90,20,80,MONITOR_CLOSELY
S003,West,P0166,Groceries,55,93.68,825,169,1,106.71,FAST_MOVER,A,4.81,60,MODERATE_RISK,90,20,80,MONITOR_CLOSELY
S005,North,P0083,Toys,71,100.36,828,126,1,89.44,FAST_MOVER,A,3.55,60,MODERATE_RISK,90,20,80,MONITOR_CLOSELY
S005,South,P0046,Clothing,123,120.63,1029,185,1,86.62,FAST_MOVER,A,3.69,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,East,P0057,Clothing,160,113.57,1004,209,1,81.94,FAST_MOVER,A,3.73,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,East,P0061,Clothing,184,128.20,1068,171,1,89.44,FAST_MOVER,A,4.31,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,East,P0066,Clothing,127,121.33,1051,201,1,101.50,FAST_MOVER,A,5.86,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,North,P0069,Clothing,154,107.57,932,179,1,88.09,FAST_MOVER,A,3.64,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,North,P0125,Clothing,183,128.03,1117,220,1,88.78,FAST_MOVER,A,4.45,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,West,P0125,Clothing,177,131.70,1094,172,1,86.50,FAST_MOVER,A,4.81,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S001,West,P0178,Clothing,204,121.74,1021,168,2,88.03,FAST_MOVER,A,4.80,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,West,P0178,Clothing,196,115.00,1019,214,2,92.11,FAST_MOVER,A,3.77,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S001,West,P0187,Clothing,245,131.33,1067,147,2,86.29,FAST_MOVER,A,4.68,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,South,P0031,Electronics,122,89.88,760,131,1,80.89,FAST_MOVER,A,4.41,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,West,P0031,Electronics,143,89.90,812,183,2,83.07,FAST_MOVER,A,4.53,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,West,P0068,Electronics,87,83.83,728,141,1,74.56,FAST_MOVER,A,3.65,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,South,P0068,Electronics,119,81.56,684,113,1,78.66,FAST_MOVER,A,3.70,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S003,East,P0070,Electronics,141,94.23,834,174,1,73.71,FAST_MOVER,A,4.61,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,North,P0085,Electronics,116,92.06,814,170,1,78.26,FAST_MOVER,A,3.89,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,West,P0175,Electronics,105,99.30,801,106,1,81.89,FAST_MOVER,A,3.76,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,North,P0175,Electronics,119,82.58,699,120,1,83.13,FAST_MOVER,B,3.02,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S003,North,P0183,Electronics,101,86.42,730,125,1,78.82,FAST_MOVER,A,3.67,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,North,P0079,Furniture,144,90.75,795,160,2,87.56,FAST_MOVER,A,3.32,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,East,P0116,Furniture,142,97.50,841,159,1,99.87,FAST_MOVER,A,4.51,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,East,P0116,Furniture,120,99.77,844,146,1,86.60,FAST_MOVER,A,3.17,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S001,North,P0149,Furniture,130,103.61,864,139,1,88.40,FAST_MOVER,A,4.08,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S002,North,P0149,Furniture,93,88.70,752,131,1,90.85,FAST_MOVER,A,3.61,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S003,West,P0149,Furniture,131,87.16,761,151,2,84.00,FAST_MOVER,A,3.50,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,South,P0149,Furniture,161,95.17,806,140,2,76.93,FAST_MOVER,A,4.09,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S001,South,P0094,Groceries,186,93.17,783,131,2,82.22,FAST_MOVER,A,5.04,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,North,P0166,Groceries,185,89.06,768,145,2,96.84,FAST_MOVER,A,4.38,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S004,West,P0016,Clothing,175,136.45,1195,239,1,93.25,FAST_MOVER,A,5.43,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S005,South,P0096,Toys,162,87.59,750,137,2,81.43,FAST_MOVER,A,3.60,52,MODERATE_RISK,70,20,80,MONITOR_CLOSELY
S003,North,P0066,Clothing,275,113.09,1024,232,2,104.49,FAST_MOVER,A,4.24,40,LOW_RISK,40,20,80,STANDARD_REVIEW
S004,North,P0069,Clothing,260,125.12,1036,160,2,99.56,FAST_MOVER,A,5.20,40,LOW_RISK,40,20,80,STANDARD_REVIEW
