store_id,region,unique_products,current_inventory_units,current_inventory_value_usd,avg_daily_sales,avg_daily_revenue_usd,inventory_turnover_ratio,fast_movers,slow_movers,critical_items,low_items,total_alerts,fill_rate_pct,turnover_rank,service_level_rank,performance_rating,data_updated_date
S005,South,10,1620,106261.64,810.54,42011.49,66.22,12,13,0,1,1,100.00,1,1,EXCELLENT,2023-12-31
S001,North,10,1817,79961.57,798.91,40389.39,64.84,8,13,0,0,0,100.00,2,1,EXCELLENT,2023-12-31
S003,West,12,1715,85773.26,790.19,38748.00,64.60,10,14,0,2,2,100.00,3,1,EXCELLENT,2023-12-31
S005,North,6,829,48005.67,783.26,40671.04,64.13,8,15,0,0,0,100.00,4,1,EXCELLENT,2023-12-31
S002,North,11,1737,99990.24,779.13,39931.42,63.96,7,13,0,1,1,100.00,5,1,EXCELLENT,2023-12-31
S004,West,5,496,21739.37,775.35,37666.08,63.87,9,13,0,0,0,100.00,6,1,EXCELLENT,2023-12-31
S003,South,7,897,25913.84,761.53,38051.13,63.81,10,11,0,0,0,100.00,7,1,EXCELLENT,2023-12-31
S002,East,10,1146,57380.04,752.08,39235.33,62.84,5,11,0,0,0,100.00,8,1,EXCELLENT,2023-12-31
S001,West,5,775,45614.57,782.38,39419.62,62.55,7,14,0,0,0,100.00,9,1,EXCELLENT,2023-12-31
S002,South,3,420,21196.64,769.56,39968.35,62.36,10,15,0,1,1,100.00,10,1,EXCELLENT,2023-12-31
S001,East,7,1256,70367.98,773.58,39936.47,62.28,7,10,0,0,0,100.00,11,1,EXCELLENT,2023-12-31
S004,North,10,1791,113724.83,755.81,38622.92,62.26,8,15,0,0,0,100.00,12,1,EXCELLENT,2023-12-31
S005,East,8,1625,113581.04,776.41,40879.32,61.57,7,19,0,1,1,100.00,13,1,EXCELLENT,2023-12-31
S003,North,5,587,24167.74,755.36,37464.93,61.39,8,18,0,1,1,100.00,14,1,EXCELLENT,2023-12-31
S004,South,7,1165,49457.12,754.55,37774.39,61.11,7,15,0,0,0,100.00,15,1,EXCELLENT,2023-12-31
S002,West,6,804,47225.20,745.32,38166.13,61.02,5,16,0,1,1,100.00,16,1,EXCELLENT,2023-12-31
S004,East,8,1101,56196.25,740.54,38500.32,60.98,6,14,0,0,0,100.00,17,1,EXCELLENT,2023-12-31
S003,East,6,877,30789.94,745.31,38042.00,60.41,6,20,0,0,0,100.00,18,1,EXCELLENT,2023-12-31
S001,South,8,1353,76456.65,715.26,35422.98,58.67,5,21,0,0,0,100.00,19,1,EXCELLENT,2023-12-31
S005,West,6,941,47802.87,684.32,34836.34,57.25,5,20,0,0,0,100.00,20,1,EXCELLENT,2023-12-31
